               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081368,            0.025312,            0.039319,            0.094556,             0.44941,             0.17073,            0.049929,            0.037821,            0.012978,            0.026803,            0.070526,           0.0032749,           0.0032749
                   1,            0.052655,            0.018209,            0.034173,             0.19735,             0.60227,             0.29935,            0.089518,            0.043439,           0.0067333,            0.024015,            0.040395,           0.0064773,           0.0064773
                   2,            0.048672,            0.014388,            0.032179,             0.34147,             0.53781,             0.37723,             0.11926,            0.039479,             0.01006,            0.020991,            0.010133,           0.0095478,           0.0095478
                   3,            0.043852,            0.011724,            0.028301,             0.28599,               0.817,             0.53854,              0.2453,            0.029832,           0.0060774,            0.017369,            0.009406,            0.009406,            0.009406
                   4,            0.040442,            0.010843,            0.022019,             0.74402,             0.78512,             0.78451,             0.42305,            0.027334,            0.007834,           0.0082587,            0.009406,            0.009406,            0.009406
                   5,            0.037554,            0.010556,            0.017703,             0.82269,             0.84963,             0.93196,             0.51061,            0.024847,           0.0051331,           0.0082138,            0.009208,            0.009208,            0.009208
                   6,            0.036167,           0.0098676,            0.015873,             0.86118,             0.73411,             0.86171,             0.49025,            0.023715,           0.0057432,            0.013818,             0.00901,             0.00901,             0.00901
                   7,            0.033663,           0.0093768,            0.013878,             0.84733,             0.89596,             0.95977,              0.5537,            0.021344,           0.0051782,           0.0099887,            0.008812,            0.008812,            0.008812
                   8,            0.032585,           0.0091012,            0.013993,             0.91262,             0.84228,             0.92818,             0.55147,            0.024029,           0.0049016,           0.0061862,            0.008614,            0.008614,            0.008614
                   9,            0.031914,            0.008882,            0.013161,             0.91715,             0.86993,             0.96331,             0.62409,            0.019572,           0.0043299,           0.0054193,            0.008416,            0.008416,            0.008416
                  10,            0.031866,           0.0089542,            0.013222,             0.90819,             0.89325,             0.94647,             0.59137,            0.020094,           0.0045573,           0.0064501,            0.008218,            0.008218,            0.008218
                  11,            0.030504,           0.0085934,            0.012125,             0.76627,             0.75082,             0.89563,              0.5048,            0.022052,           0.0049017,            0.018345,             0.00802,             0.00802,             0.00802
                  12,            0.029903,           0.0085176,            0.012432,             0.95345,             0.93546,             0.97852,             0.63051,            0.019345,           0.0041895,           0.0037267,            0.007822,            0.007822,            0.007822
                  13,            0.028403,           0.0083352,            0.011948,             0.93576,             0.95688,             0.97031,             0.70188,            0.016993,           0.0040359,           0.0037429,            0.007624,            0.007624,            0.007624
                  14,            0.028111,           0.0083199,            0.011493,             0.94156,              0.9482,             0.96415,              0.6504,             0.01839,           0.0047185,           0.0037863,            0.007426,            0.007426,            0.007426
                  15,            0.027891,           0.0082271,            0.010832,             0.95235,             0.92727,             0.97081,             0.70073,            0.017051,           0.0041695,           0.0041711,            0.007228,            0.007228,            0.007228
                  16,            0.027587,           0.0083374,            0.010769,             0.91847,             0.95498,             0.97571,             0.67187,            0.017659,           0.0043772,            0.003653,             0.00703,             0.00703,             0.00703
                  17,            0.027816,            0.008037,            0.010201,               0.947,             0.95159,             0.97425,             0.67077,            0.017894,           0.0041016,             0.00309,            0.006832,            0.006832,            0.006832
                  18,            0.027176,           0.0080204,            0.011529,              0.9273,             0.95296,             0.96839,             0.66479,            0.017107,           0.0040639,           0.0039322,            0.006634,            0.006634,            0.006634
                  19,            0.026417,           0.0080146,            0.010783,             0.94931,             0.95912,             0.96923,             0.66869,            0.016573,           0.0040682,           0.0036463,            0.006436,            0.006436,            0.006436
                  20,            0.025355,           0.0078954,           0.0099782,             0.93964,             0.95347,             0.97052,             0.70267,            0.017064,           0.0037996,           0.0043651,            0.006238,            0.006238,            0.006238
                  21,             0.02561,            0.007803,            0.009695,             0.95781,             0.92821,             0.97928,             0.71706,            0.015376,           0.0038782,           0.0033951,             0.00604,             0.00604,             0.00604
                  22,            0.025344,           0.0078257,           0.0091442,             0.95368,             0.96129,             0.97575,             0.69426,            0.017939,           0.0039608,           0.0031621,            0.005842,            0.005842,            0.005842
                  23,            0.024884,           0.0077836,           0.0090141,             0.94343,              0.9672,             0.97641,             0.70654,            0.016199,           0.0038411,           0.0028372,            0.005644,            0.005644,            0.005644
                  24,            0.024327,           0.0074166,           0.0086145,             0.96791,             0.95377,             0.97503,             0.72113,            0.015042,            0.003841,           0.0031998,            0.005446,            0.005446,            0.005446
                  25,            0.023815,            0.007344,           0.0088704,              0.9612,             0.94085,             0.96874,             0.70605,            0.015606,           0.0036897,           0.0037643,            0.005248,            0.005248,            0.005248
                  26,            0.024116,           0.0078783,            0.009569,              0.9532,             0.96262,             0.97919,             0.71143,            0.015992,           0.0037997,           0.0036926,             0.00505,             0.00505,             0.00505
                  27,            0.023576,            0.007579,           0.0091622,             0.95054,             0.96524,             0.97963,             0.71799,            0.015417,           0.0038481,             0.00349,            0.004852,            0.004852,            0.004852
                  28,            0.023635,           0.0074702,           0.0086499,             0.96424,             0.94839,             0.98185,              0.7131,            0.015368,            0.003864,           0.0031964,            0.004654,            0.004654,            0.004654
                  29,            0.023537,           0.0074713,            0.008582,             0.96989,             0.96561,              0.9834,             0.73168,            0.014604,           0.0036088,            0.002676,            0.004456,            0.004456,            0.004456
                  30,            0.023043,           0.0071692,           0.0082025,             0.96826,             0.96903,             0.98101,             0.72966,            0.015289,           0.0036162,             0.00284,            0.004258,            0.004258,            0.004258
                  31,             0.02298,           0.0074129,           0.0081718,             0.96369,             0.96126,             0.97908,             0.72734,            0.015157,           0.0037196,           0.0028074,             0.00406,             0.00406,             0.00406
                  32,            0.023392,           0.0073186,           0.0080577,             0.96718,             0.97253,             0.98083,             0.73271,             0.01475,           0.0038131,           0.0021009,            0.003862,            0.003862,            0.003862
                  33,            0.022335,            0.007126,           0.0073871,             0.96415,             0.96503,             0.97876,             0.73375,            0.015045,           0.0036803,           0.0028142,            0.003664,            0.003664,            0.003664
                  34,              0.0226,           0.0071558,           0.0082353,             0.96055,             0.96893,             0.97669,             0.73215,            0.015033,           0.0035738,           0.0027782,            0.003466,            0.003466,            0.003466
                  35,            0.022356,            0.007303,           0.0076063,             0.96022,             0.96207,             0.97415,             0.73503,            0.014519,           0.0036754,           0.0027469,            0.003268,            0.003268,            0.003268
