epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8211,1.4502,2.92387,1.48587,0.53879,0.78268,0.56418,0.36097,1.41431,2.19413,1.48367,0.000472155,0.000472155,0.000472155
2,27.0905,1.20411,1.83173,1.29005,0.84474,0.77078,0.85194,0.52536,1.5357,1.58401,1.97467,0.000929708,0.000929708,0.000929708
3,38.2783,1.21471,1.41811,1.30516,0.8249,0.82052,0.87212,0.59161,1.31565,1.13289,1.53677,0.0013684,0.0013684,0.0013684
4,49.2373,1.17289,1.19292,1.28919,0.74553,0.80593,0.84989,0.51479,1.51748,1.15367,1.79987,0.00134412,0.00134412,0.00134412
5,59.9958,1.16874,1.04427,1.29231,0.72893,0.85363,0.90245,0.64791,1.32121,1.11821,1.72255,0.00131582,0.00131582,0.00131582
6,70.9087,1.12118,0.93605,1.26337,0.92838,0.88441,0.94769,0.68014,1.35239,0.78081,1.66357,0.00128753,0.00128753,0.00128753
7,81.8466,1.11527,0.87449,1.26116,0.91877,0.91514,0.96929,0.68305,1.30236,0.71735,1.68978,0.00125923,0.00125923,0.00125923
8,92.8624,1.08059,0.84497,1.23122,0.9339,0.92981,0.98095,0.70541,1.23598,0.69063,1.53448,0.00123094,0.00123094,0.00123094
9,104.065,1.09609,0.81651,1.24955,0.88939,0.9445,0.96022,0.68601,1.27148,0.80986,1.69743,0.00120265,0.00120265,0.00120265
10,114.796,1.0559,0.75751,1.22721,0.90928,0.87651,0.94742,0.68252,1.29003,0.73117,1.72217,0.00117435,0.00117435,0.00117435
11,125.408,1.02948,0.74073,1.22102,0.95343,0.90954,0.96831,0.70977,1.1803,0.66856,1.56954,0.00114606,0.00114606,0.00114606
12,136.235,1.06089,0.72584,1.23646,0.95712,0.94933,0.97465,0.71104,1.28911,0.62047,1.79727,0.00111776,0.00111776,0.00111776
13,147.248,1.04039,0.71562,1.2326,0.92357,0.97123,0.9743,0.72258,1.18627,0.61091,1.59374,0.00108947,0.00108947,0.00108947
14,158.092,1.01724,0.67118,1.21398,0.91204,0.94482,0.96915,0.69544,1.30149,0.7139,1.80092,0.00106118,0.00106118,0.00106118
15,169.08,1.04135,0.69925,1.225,0.91676,0.95215,0.97162,0.71892,1.21427,0.70788,1.66781,0.00103288,0.00103288,0.00103288
16,179.847,1.00251,0.69615,1.20601,0.93792,0.96356,0.97663,0.726,1.23357,0.75715,1.71942,0.00100459,0.00100459,0.00100459
17,190.74,0.99423,0.65305,1.18923,0.96403,0.94843,0.9818,0.71002,1.27871,0.60526,1.71433,0.000976293,0.000976293,0.000976293
18,201.477,1.002,0.67961,1.20479,0.95991,0.95864,0.98135,0.73589,1.19208,0.579,1.56942,0.000947999,0.000947999,0.000947999
19,212.459,0.99238,0.65567,1.19884,0.94069,0.95296,0.98164,0.73603,1.15234,0.56033,1.56849,0.000919704,0.000919704,0.000919704
20,223.236,0.97132,0.63139,1.18069,0.94907,0.96389,0.98233,0.74267,1.14401,0.53155,1.62308,0.00089141,0.00089141,0.00089141
21,234.277,0.96945,0.62444,1.17571,0.96267,0.96324,0.98087,0.72772,1.13034,0.54391,1.50842,0.000863116,0.000863116,0.000863116
22,245.023,0.97753,0.6271,1.18051,0.95921,0.97019,0.98255,0.73985,1.13248,0.5313,1.50715,0.000834822,0.000834822,0.000834822
23,255.696,0.95736,0.59715,1.16188,0.96222,0.96606,0.9847,0.73877,1.12749,0.54461,1.52414,0.000806528,0.000806528,0.000806528
24,266.402,0.92986,0.60725,1.157,0.95517,0.97071,0.9842,0.73646,1.20187,0.51791,1.74,0.000778233,0.000778233,0.000778233
25,277.191,0.93801,0.57672,1.1714,0.96505,0.96754,0.988,0.75108,1.16851,0.49707,1.6729,0.000749939,0.000749939,0.000749939
26,288.08,0.92775,0.58053,1.15611,0.93473,0.97754,0.98187,0.75071,1.16246,0.52013,1.64551,0.000721645,0.000721645,0.000721645
27,298.972,0.9158,0.59093,1.14088,0.97546,0.97519,0.98537,0.75743,1.12061,0.49583,1.51079,0.000693351,0.000693351,0.000693351
28,309.902,0.9095,0.55413,1.14387,0.96208,0.97027,0.97749,0.74304,1.11319,0.50719,1.53789,0.000665057,0.000665057,0.000665057
