               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08171,            0.025452,            0.039622,             0.12082,             0.32094,             0.16118,            0.048936,              0.0432,            0.016142,            0.027149,            0.070526,           0.0032749,           0.0032749
                   1,            0.053175,            0.018352,            0.034571,             0.24048,             0.65673,             0.29197,              0.1322,            0.035526,           0.0072286,            0.025228,            0.040395,           0.0064773,           0.0064773
                   2,             0.04953,            0.014485,            0.033239,             0.24064,             0.68137,             0.31483,              0.1613,            0.036378,           0.0071357,            0.022581,            0.010133,           0.0095478,           0.0095478
                   3,            0.043626,            0.011872,            0.031344,             0.38711,             0.78739,             0.51073,             0.23541,            0.031262,           0.0076065,            0.021489,            0.009406,            0.009406,            0.009406
                   4,            0.039233,            0.010778,            0.026989,             0.45241,             0.86049,             0.68379,             0.36778,            0.025286,           0.0055032,            0.019131,            0.009406,            0.009406,            0.009406
                   5,            0.037365,            0.010576,            0.021332,             0.73199,             0.74316,             0.81218,              0.4344,            0.026379,           0.0057809,            0.011545,            0.009208,            0.009208,            0.009208
                   6,            0.036465,            0.010015,            0.017359,             0.86919,             0.88723,             0.94192,             0.47464,            0.025977,           0.0048728,           0.0067367,             0.00901,             0.00901,             0.00901
                   7,            0.033877,           0.0095314,             0.01504,             0.91853,             0.86247,               0.929,             0.56786,            0.021071,           0.0056691,           0.0059884,            0.008812,            0.008812,            0.008812
                   8,            0.032891,           0.0092424,            0.013732,             0.93638,             0.91575,             0.94783,             0.61906,             0.01996,            0.004781,           0.0049489,            0.008614,            0.008614,            0.008614
                   9,            0.032524,           0.0091222,            0.013913,             0.92331,             0.85658,             0.92263,              0.5931,            0.021946,           0.0052458,            0.005496,            0.008416,            0.008416,            0.008416
                  10,            0.031889,           0.0089789,            0.013656,             0.89996,             0.88086,             0.94187,             0.49472,            0.024685,            0.005112,           0.0058026,            0.008218,            0.008218,            0.008218
                  11,            0.030698,           0.0086786,            0.012797,             0.91382,             0.91181,             0.94006,             0.60305,             0.02022,            0.005539,           0.0061698,             0.00802,             0.00802,             0.00802
                  12,            0.029846,           0.0085793,            0.012718,             0.91628,             0.91214,             0.95298,               0.566,            0.019577,           0.0042759,           0.0054255,            0.007822,            0.007822,            0.007822
                  13,            0.029069,           0.0085287,            0.012994,             0.90468,              0.9171,             0.94808,             0.64844,            0.019554,           0.0041636,           0.0052649,            0.007624,            0.007624,            0.007624
                  14,            0.028319,           0.0084673,            0.012524,             0.93227,             0.93996,             0.97284,             0.68813,            0.017736,           0.0042187,           0.0039751,            0.007426,            0.007426,            0.007426
                  15,            0.027863,           0.0082091,            0.011055,              0.9327,              0.9562,             0.97828,             0.65922,            0.017741,           0.0041687,           0.0040049,            0.007228,            0.007228,            0.007228
                  16,            0.027725,           0.0083794,            0.011947,             0.93297,              0.9554,             0.97377,             0.63837,            0.019132,           0.0043208,           0.0040453,             0.00703,             0.00703,             0.00703
                  17,             0.02735,           0.0080725,            0.010497,             0.96127,             0.93642,             0.95148,             0.65265,            0.019496,           0.0043349,           0.0034455,            0.006832,            0.006832,            0.006832
                  18,            0.026782,           0.0079484,            0.011133,             0.95116,             0.95322,             0.96878,             0.67003,            0.016779,           0.0040658,           0.0038818,            0.006634,            0.006634,            0.006634
                  19,            0.026649,           0.0080055,            0.010956,             0.96671,             0.95236,             0.97293,              0.6833,            0.016767,           0.0039524,           0.0034827,            0.006436,            0.006436,            0.006436
                  20,            0.025519,           0.0078805,           0.0093945,             0.93787,             0.95998,             0.96986,             0.66898,            0.017799,           0.0040358,           0.0034674,            0.006238,            0.006238,            0.006238
                  21,            0.025741,           0.0078298,           0.0096672,             0.94921,              0.9409,             0.97669,             0.68417,            0.016787,           0.0040593,           0.0040939,             0.00604,             0.00604,             0.00604
                  22,            0.025121,            0.007847,            0.009179,             0.93633,             0.93583,             0.96886,             0.70239,            0.016538,           0.0038162,           0.0040005,            0.005842,            0.005842,            0.005842
                  23,            0.024732,           0.0077774,           0.0098433,             0.96051,             0.96632,              0.9793,             0.72368,            0.016392,           0.0037795,           0.0026104,            0.005644,            0.005644,            0.005644
                  24,            0.024504,           0.0073832,           0.0085529,             0.94453,             0.96825,             0.97923,             0.71308,            0.015731,           0.0039762,           0.0037176,            0.005446,            0.005446,            0.005446
                  25,            0.024078,           0.0074634,           0.0086273,             0.96331,             0.94533,              0.9782,             0.70452,            0.016187,           0.0038216,           0.0033392,            0.005248,            0.005248,            0.005248
                  26,            0.024171,           0.0077959,           0.0090612,              0.9382,             0.94291,             0.97442,             0.70461,            0.016288,           0.0038544,           0.0046107,             0.00505,             0.00505,             0.00505
                  27,            0.023721,           0.0075426,           0.0092493,             0.96478,              0.9533,             0.97572,             0.71886,            0.015616,           0.0038092,           0.0029027,            0.004852,            0.004852,            0.004852
                  28,            0.023556,           0.0074945,           0.0089484,             0.95709,             0.95296,              0.9831,             0.72417,            0.015486,           0.0037925,           0.0029313,            0.004654,            0.004654,            0.004654
